,0
304,-0.00010327319614589214
305,-0.0014016782224643975
306,-0.0037720247637480497
307,0.0007554134645033628
308,-0.0005841641686856747
309,-0.00215104001108557
310,-0.002172539127059281
311,-0.0001104243565350771
312,-0.00019099912606179714
313,-0.0022515922610182315
314,-0.000978511176072061
315,0.0008996319957077503
316,-0.002404846658464521
317,0.0014263794582802802
318,-0.004120887024328113
319,0.0004315086407586932
320,0.002622374984639464
321,0.0010790770465973765
322,-0.005610339343547821
323,0.0008315067971125245
324,0.0014472976181423292
325,0.004102765000425279
326,-0.0038629371556453407
327,0.0016665975854266435
328,0.0007216139347292483
329,-0.00019691533816512674
330,-0.005304100690409541
331,0.0015930815716274083
332,-0.00019184325356036425
333,0.001334608648903668
334,-0.002189405611716211
335,-0.004827726399526
336,-0.0012731909664580598
337,0.002790158490824979
338,-0.0006751939799869433
339,2.092961221933365e-05
340,0.0004126174681005068
341,-0.0003108649361820426
342,-0.0020396154723130167
343,-0.00038270235381787643
344,0.004678343888372183
345,0.0018910822982434183
346,0.0019432625849731266
347,-0.0037055920402053744
348,0.00027447775937616825
349,-0.001832304464187473
350,-0.0013391204411163926
351,4.720583092421293e-06
352,0.00785931886639446
353,-0.006664058426395059
354,0.004862429341301322
355,0.0002223120245616883
356,-0.006925530266016722
357,0.0019964402017649263
358,0.004379230085760355
359,0.0029191523790359497
360,-0.005099988076835871
361,0.006636901758611202
362,0.00363202637527138
363,-0.001425822265446186
364,0.0018779806705424562
365,-0.0021047211484983563
366,0.0003045789198949933
367,0.001445817993953824
368,0.0016406853392254561
369,0.0010616531944833696
370,-0.0015445526223629713
371,-0.002747971622738987
372,-0.0013562679232563823
373,-0.00127696657409615
374,0.003468645620159805
375,-2.1188783648540266e-05
376,-0.0008161768782883883
377,-0.002260002074763179
378,-0.0003577228053472936
379,-0.0043441168672870845
380,-0.00044058181811124086
381,-0.00022346380865201354
382,0.0021204545628279448
383,0.0
